Eruption Number,Volcano Name,Eruption Category,Evidence Type,Evidence Method,VEI,Start Year,Start Month,Start Day,End Year,End Month,End Day
19614,Kinenin,Confirmed,Isotopic,14C (uncalibrated),4,850,,,,,
14692,Raoul Island,Confirmed,Correlation,Tephrochronology,4,850,,,,,
12939,Krafla,Confirmed,Correlation,Tephrochronology,0,850,,,,,
20422,Churchill,Confirmed,Correlation,Tephrochronology,6,847,,,,,
17102,Kirishimayama,Confirmed,Observations,Reported,2,843,,,848,,
13038,Furnas,Confirmed,Isotopic,14C (uncalibrated),4,840,,,,,
17576,Kozushima,Confirmed,Observations,Reported,4,838,8,2,,,
18172,Izu-Oshima,Confirmed,Observations,Reported,3,838,8,,,,
17994,Naruko,Confirmed,Observations,Reported,1,837,5,27,,,
17101,Kirishimayama,Confirmed,Observations,Reported,3,837,,,839,,
18255,Miyakejima,Confirmed,Observations,Reported,3,832,6,23,,,
17435,Fujisan,Confirmed,Observations,Reported,2,830,,,,,
10166,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,830,,,,,
17434,Fujisan,Confirmed,Observations,Reported,2,826,12,31,,,
10514,Popocatepetl,Confirmed,Sidereal,Ice Core,4,823,3,1,,,
18171,Izu-Oshima,Confirmed,Sidereal,Varve Count,3,822,,,,,
10165,Mauna Loa,Confirmed,Isotopic,14C (uncalibrated),0,810,,,,,
18048,Akita-Komagatake,Confirmed,Observations,Reported,3,807,,,,,
17894,Bandaisan,Confirmed,Observations,Reported,3,806,,,,,
17433,Fujisan,Confirmed,Observations,Reported,4,800,4,11,802,2,6
19111,Kostakan,Confirmed,Correlation,Tephrochronology,3,800,,,,,
10627,Almolonga,Confirmed,Isotopic,14C (calibrated),3,800,,,,,
13100,Tenerife,Confirmed,Isotopic,14C (calibrated),0,800,,,,,
20929,Axial Seamount,Confirmed,Isotopic,14C (calibrated),0,800,,,,,
17197,Asosan,Uncertain,Uncertain,Unspecified,0,796,8,,,,
17100,Kirishimayama,Confirmed,Observations,Reported,4,788,4,18,,,
13315,Vesuvius,Confirmed,Observations,Reported,3,787,10,15,788,1,15
17432,Fujisan,Confirmed,Observations,Reported,3,781,7,,781,7,
10606,"Chichon, El",Confirmed,Isotopic,14C (calibrated),5,780,,,,,
17049,Aira,Confirmed,Observations,Reported,0,778,,,,,
17367,Yufu-Tsurumi,Confirmed,Observations,Reported,0,771,,,,,
10247,Hualalai,Confirmed,Isotopic,14C (uncalibrated),1,770,,,,,
17025,Ata,Confirmed,Correlation,Tephrochronology,4,770,,,,,
14844,Taveuni,Confirmed,Correlation,Tephrochronology,2,770,,,,,
11532,Cotopaxi,Confirmed,Isotopic,14C (uncalibrated),4,770,,,,,
17048,Aira,Confirmed,Observations,Reported,3,766,7,20,,,
17047,Aira,Confirmed,Observations,Reported,4,764,1,,,,
16988,Kikai,Confirmed,Correlation,Tephrochronology,3,750,,,,,
19558,Sheveluch,Confirmed,Correlation,Tephrochronology,3,750,,,,,
18254,Miyakejima,Confirmed,Isotopic,14C (calibrated),3,750,,,,,
19242,Krasheninnikov,Confirmed,Isotopic,14C (calibrated),3,750,,,,,
18953,Mutnovsky,Confirmed,Correlation,Tephrochronology,3,750,,,,,
11262,"Bravo, Cerro",Confirmed,Isotopic,14C (uncalibrated),4,750,,,,,
